AREA,Year,"Population
(thousands)",%urban,Atleastbasic,Limited(morethan30mins),Unimproved,Safelymanaged,Accessibleonpremises,Availablewhenneeded,Freefromcontamination,Piped,Non-piped
AustraliaandNewZealand,2000,22990,85,100,0,0,0,97,90,0,94,6
AustraliaandNewZealand,2001,23257,84,100,0,0,0,97,91,0,94,6
AustraliaandNewZealand,2002,23546,85,100,0,0,0,97,91,0,94,6
AustraliaandNewZealand,2003,23842,85,100,0,0,0,97,92,0,95,5
AustraliaandNewZealand,2004,24131,85,100,0,0,0,98,92,0,95,5
AustraliaandNewZealand,2005,24429,85,100,0,0,0,98,93,0,95,5
AustraliaandNewZealand,2006,24772,85,100,0,0,0,98,93,0,95,4
AustraliaandNewZealand,2007,25178,85,100,0,0,0,98,94,0,96,4
AustraliaandNewZealand,2008,25632,85,100,0,0,0,98,94,0,96,4
AustraliaandNewZealand,2009,26087,85,100,0,0,0,99,94,0,96,4
AustraliaandNewZealand,2010,26489,85,100,0,0,0,99,95,0,96,3
AustraliaandNewZealand,2011,26862,85,100,0,0,0,100,95,0,97,3
AustraliaandNewZealand,2012,27264,86,100,0,0,0,100,96,0,97,3
AustraliaandNewZealand,2013,27690,86,100,0,0,0,100,96,0,97,3
AustraliaandNewZealand,2014,28119,86,100,0,0,0,100,96,0,97,3
AustraliaandNewZealand,2015,28562,86,100,0,0,0,100,96,0,98,2
AustraliaandNewZealand,2016,29045,86,100,0,0,0,100,96,0,98,2
AustraliaandNewZealand,2017,29544,86,100,0,0,0,100,96,0,98,2
AustraliaandNewZealand,2018,30021,86,100,0,0,0,100,96,0,98,2
AustraliaandNewZealand,2019,30472,86,100,0,0,0,100,96,0,98,2
AustraliaandNewZealand,2020,30814,86,100,0,0,0,100,96,0,0,0
AustraliaandNewZealand,2021,31064,86,100,0,0,0,100,96,0,0,0
AustraliaandNewZealand,2022,31333,87,100,0,0,0,100,96,0,0,0
AustraliaandNewZealand,2023,31624,87,100,0,0,0,100,96,0,0,0
AustraliaandNewZealand,2024,31927,87,100,0,0,0,100,96,0,0,0
CentralandSouthernAsia,2000,1534794,30,82,4,12,48,48,72,58,39,47
CentralandSouthernAsia,2001,1563977,30,82,4,11,49,49,73,58,39,47
CentralandSouthernAsia,2002,1592671,30,83,4,11,50,50,73,59,40,47
CentralandSouthernAsia,2003,1621101,31,83,4,10,51,51,74,59,41,47
CentralandSouthernAsia,2004,1649885,31,84,4,10,52,52,74,60,41,47
CentralandSouthernAsia,2005,1678121,31,85,4,10,54,54,75,60,42,46
CentralandSouthernAsia,2006,1705977,32,85,4,9,55,55,75,60,43,46
CentralandSouthernAsia,2007,1733040,32,86,4,9,56,56,76,61,43,46
CentralandSouthernAsia,2008,1759490,32,86,4,8,57,57,77,61,44,46
CentralandSouthernAsia,2009,1786570,33,87,4,8,58,58,77,62,45,46
CentralandSouthernAsia,2010,1813842,33,87,4,7,60,60,78,63,45,46
CentralandSouthernAsia,2011,1840842,34,88,3,7,61,61,78,65,46,46
CentralandSouthernAsia,2012,1867238,34,89,3,7,62,62,79,66,46,45
CentralandSouthernAsia,2013,1892781,34,89,3,6,63,63,79,67,47,45
CentralandSouthernAsia,2014,1917606,35,90,3,6,65,65,80,68,48,45
CentralandSouthernAsia,2015,1941567,35,90,3,5,66,66,80,70,48,45
CentralandSouthernAsia,2016,1965448,35,91,3,5,67,67,81,71,49,45
CentralandSouthernAsia,2017,1989429,36,91,3,5,68,68,81,72,50,45
CentralandSouthernAsia,2018,2013149,36,92,3,4,69,69,82,74,50,45
CentralandSouthernAsia,2019,2036731,37,92,3,4,71,71,82,75,51,44
CentralandSouthernAsia,2020,2059942,37,93,3,3,72,72,82,76,51,44
CentralandSouthernAsia,2021,2081130,38,94,3,3,73,73,83,77,52,44
CentralandSouthernAsia,2022,2101809,38,94,3,3,74,74,83,78,53,44
CentralandSouthernAsia,2023,2123893,39,95,3,2,76,76,84,80,53,44
CentralandSouthernAsia,2024,2146282,39,95,2,2,77,77,84,81,54,44
